,logFC,adj.P.Val,Gene,status
218,-0.149779059,0.014775283,SEMA3E,DOWN
219,0.075912244,0.049057836,SLK,NO
220,0.097774518,0.048962994,PNISR,NO
221,-0.075747148,0.018661274,TDRD1,NO
222,-0.158861703,0.045994473,ZNF69,DOWN
223,-0.071871601,0.021363238,EBLN2,NO
224,-0.151976596,0.034572979,XRCC2,DOWN
225,-0.141217886,0.013208671,SHROOM4,DOWN
226,-0.042217464,0.041501799,EPHB4,NO
227,-0.162752147,0.024355172,ZNF549,DOWN
228,-0.171371579,0.008858517,GRIPAP1,DOWN
229,-0.169230911,0.006008164,FYN,DOWN
230,0.279437113,0.034274718,FCGR1A,UP
231,0.279437113,0.034274718,FCGR1BP,UP
232,0.279437113,0.034274718,FCGR1CP,UP
233,-0.106746265,0.037674424,NA,DOWN
234,-0.116450051,0.046034,FCAR,DOWN
235,-0.124616107,0.034723449,TDP1,DOWN
236,-0.184788173,0.006008164,CEP19,DOWN
237,0.214608782,0.034572979,CD46,UP
238,-0.058813779,0.034723449,ATP2A3,NO
239,0.037521292,0.004126862,PTPRO,NO
240,-0.022702522,0.034654013,PARD6A,NO
241,0.167522499,0.014775283,CASP1,UP
242,0.139430904,0.037674424,MS4A7,UP
243,-0.142089788,0.019043419,CREB1,DOWN
244,0.206015482,0.001533841,NPTN,UP
245,0.073304646,0.003917438,ACSL3,NO
246,-0.178776701,0.007305213,ZMAT3,DOWN
247,0.040309858,0.024355172,RCAN1,NO
248,-0.100169887,0.038455749,ATP2B4,DOWN
249,0.052959509,0.034572979,MYOF,NO
250,-0.079113786,0.049820676,BCL7C,NO
251,0.073653971,0.014775283,SIAH1,NO
252,0.386959338,0.014775283,EPSTI1,UP
253,0.079334642,0.038455749,UBE3A,NO
254,0.075753361,0.007156886,FBXW11,NO
255,-0.057763829,0.018661274,TRAK1,NO
256,-0.099874973,0.010988905,SEPTIN6,NO
257,0.042916295,0.040893325,MLLT10,NO
258,0.063936609,0.001533841,CHN2,NO
259,0.134694367,0.014775283,JMJD1C,UP
260,0.041284017,0.042976305,HPS5,NO
