"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1703077",-0.0995267489833314,6.77695811158929,-3.43735020126054,0.00110840961573139,0.902166616022769,-0.917440428677126
"ILMN_1855140",-0.104412502155556,6.81855287271429,-3.43251241901988,0.00112487286305048,0.902166616022769,-0.929367414461834
"ILMN_1851412",0.112524531700002,6.818191187,3.42032151628361,0.00116739440227077,0.902166616022769,-0.959377575778712
"ILMN_1699455",0.110716377822221,6.82511002328571,3.41948392568564,0.00117037119297967,0.902166616022769,-0.961437083918721
"ILMN_1883546",-0.120983750711109,6.75388274171429,-3.41253346814301,0.00119535232074156,0.902166616022769,-0.97851538381672
"ILMN_1727348",0.182770643400002,7.85579637053571,3.40788647599886,0.00121233554996323,0.902166616022769,-0.989921939674134
"ILMN_1858007",0.11868462526111,6.82561826280357,3.40766946784243,0.00121313420837781,0.902166616022769,-0.990454378878773
"ILMN_1915308",-0.12079045846111,6.77844193641071,-3.4038041183316,0.00122744375840072,0.902166616022769,-0.999934724310084
"ILMN_1860665",-0.0976861380555558,6.90475755535714,-3.39948267178476,0.00124363118650376,0.902166616022769,-1.01052594373781
"ILMN_1689552",-0.48962270972223,9.35051918425,-3.39341217449429,0.00126671232874508,0.902166616022769,-1.0253899383159
"ILMN_2316918",-0.105375143355559,6.86775118528571,-3.38260819511085,0.00130879846184463,0.902166616022769,-1.05180390668753
"ILMN_1857081",-0.35737946698889,7.88553794821429,-3.38167045489462,0.00131251317713292,0.902166616022769,-1.05409409122613
"ILMN_1885063",0.131908991138889,6.80250794883929,3.37734346729503,0.00132978360988992,0.902166616022769,-1.06465656909793
"ILMN_1806500",-0.13324964122222,6.81625130614286,-3.37677342077308,0.00133207483310203,0.902166616022769,-1.06604747242815
"ILMN_2106656",-0.247127268933337,7.93916639067857,-3.36648820656562,0.0013740626288448,0.902166616022769,-1.09111836420086
